date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-11-18,150380602.94112945,0.011281095575607237,3180603525.6153765,0.18730243200823793,3134565.1421838254,0.00020116178144632485,145591934.94641143,4788667.994718029,-0.008112252
2025-11-19,150369518.98051783,0.00016400392006730007,3218187342.406114,0.24992463160591816,3170312.1111798664,0.0002377099725423704,149290293.54419008,1079225.4363277503,0.0017586946
2025-11-20,148500737.24033457,-0.012187931494047977,3254323609.784384,0.2403164392841581,3206400.455235632,0.00023999773558124803,147553446.7930694,947290.4472651654,-0.003975749
2025-11-21,142699089.05862623,-0.03884712862619808,3287172120.184124,0.22120099206361496,3239221.3962834477,0.0002210153407837833,141839758.25625697,859330.8023692798,-0.024461627
2025-11-24,141170835.53393722,-0.010475651404291568,3320529092.843164,0.2337574323640963,3272609.008284341,0.00023397214531044715,140283613.65986478,887221.8740724218,0.0004888773
2025-11-25,144039447.48695287,0.020593593968076092,3359052935.291046,0.272888109659315,3311211.9223886374,0.0002734482229158181,143032685.21415594,1006762.2727969168,0.008667946
2025-11-26,144263629.92818168,0.0017874445650626978,3392382665.542658,0.23139307205847706,3344492.0087250182,0.00023104841706224485,143389435.57218507,874194.3559966078,-0.0015087128
2025-11-27,144185432.2437691,-0.00028821554261673565,3427004839.7198987,0.23999239582753254,3381110.672757976,0.0002538315724565349,139354876.84037045,4830555.403398655,0.0028660297
2025-11-28,145173339.20107353,0.007089854500614974,3461469623.3538127,0.23903096933985415,3415457.45117016,0.00023821254254115552,140613141.01954615,4560198.181527367,0.0034416914
2025-12-01,147002727.381359,0.01286778355564347,3501828510.254092,0.2780048121947523,3454128.3777741017,0.00026637760636186945,145857120.71911004,1145606.6622489588,0.006534457
2025-12-02,148272757.04209596,0.008847647790724729,3532576867.2025814,0.20916861541433074,3484727.073183344,0.00020815052859436036,147457072.15374848,815684.8883474688,-0.0041629076
2025-12-03,145657644.24995968,-0.017393903185436106,3568568821.897989,0.24274152186425557,3520797.884291719,0.00024327335532132947,144720317.34678563,937326.9031740404,-0.005057335
2025-12-04,142744867.75919816,-0.019777705062979385,3597007027.582682,0.19524004957742688,3552800.44690916,0.00021971083482938842,134710829.5531464,8034038.206051761,-0.00056910515
2025-12-05,143420502.01081774,0.004963771415603932,3630003167.178996,0.23115464754905526,3585719.0895968536,0.0002306117425056951,135574376.26469323,7846125.746124512,0.006970167
2025-12-08,144941112.2597637,0.01084036925160368,3664026739.065142,0.23722948538821725,3619840.0406985343,0.00023790846234178655,136934349.03367123,8006763.22609246,0.0054500103
2025-12-09,145281573.2237793,0.0026074991720556905,3704861073.2518635,0.2817305148972361,3657312.906897096,0.0002585385582760169,144035218.84020376,1246354.3835755237,-0.0037094355
2025-12-10,145185367.45111236,-0.0004273520661939619,3739132729.328903,0.2358981618697823,3691432.2990669357,0.00023485010117067713,144277660.2741064,907707.177005949,-0.0023086667
2025-12-11,143964500.87039933,-0.00817162040176525,3771753621.426145,0.22468443390637263,3725899.169078675,0.00023739906174322502,139399304.7344091,4565196.135990232,-0.0069678426
2025-12-12,142996947.46155924,-0.006489708233422637,3805086267.716068,0.23153378845754238,3759164.971299554,0.00023106947907127384,138598705.2658766,4398242.195682645,0.004138112
2025-12-15,142569496.75054353,-0.0027648710153370657,3835452515.6524057,0.21235591720935912,3791247.566997113,0.000224358605320463,134770641.6281154,7798855.1224281415,-0.0055086613
2025-12-16,141567125.94746318,-0.006794093471398784,3870868487.591497,0.24841198675940607,3824987.8829839854,0.00023665872964332782,137153323.04545912,4413802.902004061,-0.011145234
