symbol,sina_symbol,code,exchange,name,board
600206.SH,sh600206,600206,SH,有研新材,沪市主板
600207.SH,sh600207,600207,SH,安彩高科,沪市主板
600208.SH,sh600208,600208,SH,衢州发展,沪市主板
600210.SH,sh600210,600210,SH,紫江企业,沪市主板
600211.SH,sh600211,600211,SH,西藏药业,沪市主板
600212.SH,sh600212,600212,SH,绿能慧充,沪市主板
600215.SH,sh600215,600215,SH,派斯林,沪市主板
600216.SH,sh600216,600216,SH,浙江医药,沪市主板
600217.SH,sh600217,600217,SH,中再资环,沪市主板
600218.SH,sh600218,600218,SH,全柴动力,沪市主板
600219.SH,sh600219,600219,SH,南山铝业,沪市主板
600221.SH,sh600221,600221,SH,海航控股,沪市主板
600222.SH,sh600222,600222,SH,太龙药业,沪市主板
